game_id,date,opponent,location,team_score,opp_score,record
401593949,2023-11-06,BYU,A,63,110,0-1 (0-0)
401608782,2023-11-15,Florida International,H,74,83,0-2 (0-0)
401592094,2023-11-20,UTSA,H,87,89,0-3 (0-0)
401603541,2023-11-24,Oklahoma State,A,65,92,0-4 (0-0)
401578014,2023-11-27,TCU,A,64,101,0-5 (0-0)
401593834,2023-12-02,Rice,A,56,65,0-6 (0-0)
401608787,2023-12-06,Southwestern Adventist,H,95,58,1-6 (0-0)
401583729,2023-12-09,Texas,A,50,77,1-7 (0-0)
401608788,2023-12-16,Champion Christian,H,107,72,2-7 (0-0)
401591584,2023-12-19,SMU,A,53,89,2-8 (0-0)
401575515,2023-12-22,Texas A&M,A,52,79,2-9 (0-0)
401578964,2024-01-06,Nicholls,H,94,98,2-10 (0-1)
401578965,2024-01-08,Texas A&M-Corpus Christi,A,59,81,2-11 (0-2)
401578966,2024-01-13,East Texas A&M,A,69,65,3-11 (1-2)
401578967,2024-01-15,Northwestern State,A,64,69,3-12 (1-3)
401578968,2024-01-20,Lamar,H,78,77,4-12 (2-3)
401578969,2024-01-22,New Orleans,H,88,80,5-12 (3-3)
401578970,2024-01-27,Incarnate Word,A,75,79,5-13 (3-4)
401578971,2024-01-29,SE Louisiana,H,58,80,5-14 (3-5)
401578972,2024-02-03,Nicholls,A,73,83,5-15 (3-6)
401578973,2024-02-05,New Orleans,A,58,84,5-16 (3-7)
401578974,2024-02-10,Incarnate Word,H,86,83,6-16 (4-7)
401578975,2024-02-12,McNeese,H,54,105,6-17 (4-8)
401578976,2024-02-17,SE Louisiana,A,78,81,6-18 (4-9)
401578977,2024-02-24,Northwestern State,H,73,86,6-19 (4-10)
401578978,2024-02-26,Texas A&M-Corpus Christi,H,79,91,6-20 (4-11)
401578979,2024-03-02,East Texas A&M,H,85,98,6-21 (4-12)
401578980,2024-03-04,McNeese,A,69,87,6-22 (4-13)
401578981,2024-03-06,Lamar,A,68,78,6-23 (4-14)
